imp,col
0.0,L_J_MCP2
0.0,L_J_MCP3
0.005171860037026289,L_J_MCP4
0.0056756128365148106,L_J_MCP5
0.0,L_J_MP
0.0,L_J_PIP2
0.0,L_J_PIP3
0.014661312994315095,L_J_PIP4
0.0,L_J_PIP5
0.12427555236252946,L_J_cup
0.12095048590633792,L_J_mul
0.06056937377054363,L_J_rad
0.0,L_J_3CM
0.0,L_J_4CM
0.0083039144449278,L_J_5CM
0.0,L_E_IP
0.0,L_E_MCP2
0.0,L_E_MCP3
0.0,L_E_MCP4
0.0,L_E_MCP5
0.0,L_E_MP
0.0,L_E_PIP2
0.0,L_E_PIP3
0.007665542688005914,L_E_PIP4
0.0,L_E_PIP5
0.01224338321480106,L_E_luna
0.011273455396380645,L_E_navi
0.00812173734545865,L_E_mc
0.005851588163128252,L_E_mul
0.0,L_E_ulna
0.0,L_E_radi
0.0,R_J_MCP2
0.0,R_J_MCP3
0.0,R_J_MCP4
0.0,R_J_MCP5
0.02203627026385863,R_J_MP
0.008866190830873854,R_J_PIP2
0.0,R_J_PIP3
0.0,R_J_PIP4
0.0,R_J_PIP5
0.03198030725590926,R_J_cup
0.0,R_J_mul
0.07399290920740459,R_J_rad
0.01506428408933779,R_J_3CM
0.0,R_J_4CM
0.03376729499222572,R_J_5CM
0.006097893113715844,R_E_IP
0.0,R_E_MCP2
0.0022892766444761368,R_E_MCP3
0.0,R_E_MCP4
0.0,R_E_MCP5
0.0,R_E_MP
0.0,R_E_PIP2
0.0027230427275607622,R_E_PIP3
0.0,R_E_PIP4
0.0,R_E_PIP5
0.03039497241126222,R_E_luna
0.0,R_E_navi
0.0,R_E_mc
0.0,R_E_mul
0.004332285356287093,R_E_ulna
0.029415163930039817,R_E_radi
0.0,bi_cluster1_3
0.003925969361241348,bi_cluster4_7_8
0.024559033046869686,das28
0.015016999174202133,das28crp
0.036019645207150855,crp
0.04182102836163143,esr
0.021739007404358957,cdai
0.057768295519859666,sdai
0.0,mtx
0.0,dmards
0.0,bio
0.0,steroid
0.024188812652713453,duration_x
0.0,gender_x
0.01061757087943885,age_onset_x
0.0,sum_rad_x
0.03963679681942584,CCP_x
0.007358969468769012,CCPclass_x
0.04945088867783326,RF_x
0.0,RFclass_x
0.0,CCPorRF_x
0.011303710318126175,RFclass3_100_x
0.010869563125457896,CCPorRF_100_x
0.0,L_rad_x
0.0,R_rad_x
