imp,col
0.11126322201265029,L_J_cup
0.03401229579969019,L_J_mul
0.0069145858351653735,L_J_rad
0.006552521861399531,L_J_3CM
0.0,L_J_4CM
0.01354659239806871,L_E_navi
0.01614387575804688,L_E_radi
0.022771953275404128,R_J_cup
0.11442794173303746,R_J_mul
0.07454972948759875,R_J_rad
0.008431395951219486,R_E_IP
0.0,R_E_luna
0.01751838161639236,R_E_navi
0.036811237345451324,R_E_radi
0.12344635186828738,bi_cluster4_7_8
0.00476980169607728,das28
0.03137361397170556,das28crp
0.028695577098801262,crp
0.028938599212750594,esr
0.016964233527070664,cdai
0.10337912624670417,sdai
0.09073096200977297,duration_x
0.01584268418216141,age_onset_x
0.0,sum_rad_x
0.04415591158581587,CCP_x
0.04128227424926369,RF_x
0.0074771312774647046,CCPorRF_100_x
0.0,L_rad_x
