imp,col
0.0,L_J_MCP2
0.0,L_J_MCP3
0.009225517540785166,L_J_MCP4
0.0,L_J_MCP5
0.0,L_J_MP
0.0,L_J_PIP2
0.0,L_J_PIP3
0.004041401311617883,L_J_PIP4
0.006674349757329418,L_J_PIP5
0.13250201806753484,L_J_cup
0.10751061252075615,L_J_mul
0.10605191133408731,L_J_rad
0.0056999180887054995,L_J_3CM
0.005061248799985333,L_J_4CM
0.0,L_J_5CM
0.0,L_E_IP
0.0021624192091365814,L_E_MCP2
0.0,L_E_MCP3
0.0,L_E_MCP4
0.0,L_E_MCP5
0.0,L_E_MP
0.0,L_E_PIP2
0.0,L_E_PIP3
0.0,L_E_PIP4
0.0,L_E_PIP5
0.005691827225258784,L_E_luna
0.019151575647307507,L_E_navi
0.0,L_E_mc
0.0,L_E_mul
0.011805132202115634,L_E_ulna
0.0,L_E_radi
0.0,R_J_MCP2
0.0,R_J_MCP3
0.0,R_J_MCP4
0.0,R_J_MCP5
0.0,R_J_MP
0.0,R_J_PIP2
0.0,R_J_PIP3
0.0,R_J_PIP4
0.00692565176399212,R_J_PIP5
0.030133951615019965,R_J_cup
0.0,R_J_mul
0.036132706753989864,R_J_rad
0.01069235571585381,R_J_3CM
0.03143071758942367,R_J_4CM
0.010359428986117102,R_J_5CM
0.0,R_E_IP
0.005084654202782061,R_E_MCP2
0.0,R_E_MCP3
0.0,R_E_MCP4
0.0,R_E_MCP5
0.0,R_E_MP
0.0,R_E_PIP2
0.0,R_E_PIP3
0.005601345433080306,R_E_PIP4
0.0,R_E_PIP5
0.016009209449974793,R_E_luna
0.012750316589951452,R_E_navi
0.007492268688680404,R_E_mc
0.0,R_E_mul
0.0,R_E_ulna
0.03536267241817472,R_E_radi
0.0,bi_cluster1_3
0.048106865954592626,bi_cluster4_7_8
0.008452851480395887,das28
0.02083729218291915,das28crp
0.04741430114212895,crp
0.016972040524489463,esr
0.0029841914700824324,cdai
0.022420446428491992,sdai
0.0,mtx
0.006558923373580668,dmards
0.013622679956000618,bio
0.0,steroid
0.03137234962715757,duration_x
0.005696727190988756,gender_x
0.013056600640997656,age_onset_x
0.020114614625924766,sum_rad_x
0.04712875763680745,CCP_x
0.0,CCPclass_x
0.02584536551995359,RF_x
0.0,RFclass_x
0.0,CCPorRF_x
0.0,RFclass3_100_x
0.03848503929855591,CCPorRF_100_x
0.004310557976129249,L_rad_x
0.0030671840591426406,R_rad_x
