imp,col
0.0,L_J_MCP2
0.0,L_J_MCP3
0.014464661779163746,L_J_MCP4
0.0,L_J_MCP5
0.0076832557030688305,L_J_MP
0.0,L_J_PIP2
0.0,L_J_PIP3
0.015665110434407704,L_J_PIP4
0.004189543490991297,L_J_PIP5
0.13263575522079046,L_J_cup
0.10796436749979217,L_J_mul
0.09195499780976032,L_J_rad
0.0,L_J_3CM
0.015624096449002011,L_J_4CM
0.0,L_J_5CM
0.008905465422357452,L_E_IP
0.0,L_E_MCP2
0.0,L_E_MCP3
0.0,L_E_MCP4
0.0,L_E_MCP5
0.0028110476184390713,L_E_MP
0.0,L_E_PIP2
0.0,L_E_PIP3
0.0,L_E_PIP4
0.0,L_E_PIP5
0.013605915979979946,L_E_luna
0.04270292791750656,L_E_navi
0.007080033342304672,L_E_mc
0.0,L_E_mul
0.00536650841485856,L_E_ulna
0.005433676947126172,L_E_radi
0.0,R_J_MCP2
0.0,R_J_MCP3
0.0,R_J_MCP4
0.0,R_J_MCP5
0.005770146675857944,R_J_MP
0.01198242058137856,R_J_PIP2
0.0,R_J_PIP3
0.006023383076245203,R_J_PIP4
0.0,R_J_PIP5
0.03573869815729845,R_J_cup
0.018150287452455838,R_J_mul
0.026339846992132536,R_J_rad
0.010697788478226736,R_J_3CM
0.008635678520246317,R_J_4CM
0.04445235315685446,R_J_5CM
0.0,R_E_IP
0.0,R_E_MCP2
0.0,R_E_MCP3
0.0,R_E_MCP4
0.005643634546881763,R_E_MCP5
0.004877760175783841,R_E_MP
0.0,R_E_PIP2
0.0,R_E_PIP3
0.008376782218693929,R_E_PIP4
0.0,R_E_PIP5
0.01021294277471576,R_E_luna
0.015002121753327876,R_E_navi
0.0,R_E_mc
0.0,R_E_mul
0.006137339358438731,R_E_ulna
0.0074956760908752975,R_E_radi
0.0,bi_cluster1_3
0.0,bi_cluster4_7_8
0.04455012181815206,das28
0.01642724991626356,das28crp
0.052560099936868575,crp
0.038072983895574335,esr
0.00777374779236327,cdai
0.038707376381987554,sdai
0.0,mtx
0.0,dmards
0.0,bio
0.0,steroid
0.019535895114461882,duration_x
0.0,gender_x
0.00622014085441345,age_onset_x
0.0,sum_rad_x
0.011004741785255793,CCP_x
0.0030087073412319383,CCPclass_x
0.02763147644343563,RF_x
0.0,RFclass_x
0.003729154537885849,CCPorRF_x
0.0,RFclass3_100_x
0.02915408014314389,CCPorRF_100_x
0.0,L_rad_x
0.0,R_rad_x
