imp,col
0.0,L_J_MCP2
0.0,L_J_MCP3
0.0,L_J_MCP4
0.0,L_J_MCP5
0.0,L_J_MP
0.0,L_J_PIP2
0.0,L_J_PIP3
0.024833718709953538,L_J_PIP4
0.0,L_J_PIP5
0.10574095942366468,L_J_cup
0.09463910224375086,L_J_mul
0.11269177145976332,L_J_rad
0.0030664039636560444,L_J_3CM
0.0,L_J_4CM
0.02911401908713369,L_J_5CM
0.004974445974706856,L_E_IP
0.0,L_E_MCP2
0.0,L_E_MCP3
0.0,L_E_MCP4
0.0,L_E_MCP5
0.0,L_E_MP
0.0,L_E_PIP2
0.0,L_E_PIP3
0.009975143569583095,L_E_PIP4
0.0,L_E_PIP5
0.006061890700716486,L_E_luna
0.0,L_E_navi
0.012833257754634456,L_E_mc
0.0,L_E_mul
0.0,L_E_ulna
0.0,L_E_radi
0.0,R_J_MCP2
0.005789096353709595,R_J_MCP3
0.0,R_J_MCP4
0.0,R_J_MCP5
0.014233368807134864,R_J_MP
0.0056135207461870855,R_J_PIP2
0.004394446507754947,R_J_PIP3
0.0,R_J_PIP4
0.0028967726130452896,R_J_PIP5
0.030262350621577193,R_J_cup
0.004445923075623951,R_J_mul
0.07357700850870674,R_J_rad
0.009129806891880868,R_J_3CM
0.025203339321531838,R_J_4CM
0.009308881807255287,R_J_5CM
0.0,R_E_IP
0.0,R_E_MCP2
0.0,R_E_MCP3
0.0,R_E_MCP4
0.017682307869573595,R_E_MCP5
0.0033593574694296365,R_E_MP
0.0,R_E_PIP2
0.0,R_E_PIP3
0.0,R_E_PIP4
0.0,R_E_PIP5
0.004585074758542921,R_E_luna
0.0,R_E_navi
0.0,R_E_mc
0.005262759009476921,R_E_mul
0.015286947460662555,R_E_ulna
0.01636077634657836,R_E_radi
0.0,bi_cluster1_3
0.04678915575585187,bi_cluster4_7_8
0.0115627092078183,das28
0.009626048203834553,das28crp
0.048945086462760086,crp
0.005158935080686716,esr
0.022097172530815522,cdai
0.08174207640467032,sdai
0.005151794196166095,mtx
0.0,dmards
0.0,bio
0.0,steroid
0.03528237134627322,duration_x
0.0,gender_x
0.0,age_onset_x
0.005805678549739518,sum_rad_x
0.015084504184018466,CCP_x
0.0,CCPclass_x
0.04133418727173484,RF_x
0.0,RFclass_x
0.0,CCPorRF_x
0.009809742816949678,RFclass3_100_x
0.0056750019864168265,CCPorRF_100_x
0.0,L_rad_x
0.0046130849460293095,R_rad_x
