imp,col
0.06941585843743812,L_J_cup
0.11087771539838658,L_J_mul
0.025329574882120977,L_J_rad
0.014812010002013284,L_J_3CM
0.013750563726018428,L_J_4CM
0.05397565913828806,L_E_navi
0.014475826071521163,L_E_radi
0.0945200851615056,R_J_cup
0.0689979835304721,R_J_mul
0.0539476974705311,R_J_rad
0.003927926671486002,R_E_IP
0.008682052344955343,R_E_luna
0.01735417144636479,R_E_navi
0.04461470982617077,R_E_radi
0.1642244736125675,bi_cluster4_7_8
0.0301972622647656,das28
0.01883162742517232,das28crp
0.010457149856699988,crp
0.022695796129115032,esr
0.022728513410499952,cdai
0.032176586245487186,sdai
0.03646609449960295,duration_x
0.0037246677709598373,age_onset_x
0.0037992947354086168,sum_rad_x
0.02585798674635785,CCP_x
0.03044766630792969,RF_x
0.001978685914773074,CCPorRF_100_x
0.0017323609733880861,L_rad_x
